time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/learning_rate,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/clip_range
3,594,2048,1,147.5,437.75,,,,,,,,,,
8,484,4096,2,149.0,400.9,58.265513078123334,0.0003,26.444414138793945,0.0005822778,0.010752004,0.151220703125,-0.010595411638496444,10,-1.782326752319932,0.2
12,497,6144,3,146.05882352941177,359.6470588235294,73.99937089979649,0.0003,52.742340087890625,0.024827242,0.01385802,0.191650390625,-0.011888426073710434,20,-1.7645787257701158,0.2
14,549,8192,4,148.0,339.7083333333333,67.86634032130242,0.0003,27.943452835083008,-0.019318342,0.011666037,0.1205078125,-0.008107780475984327,30,-1.7422616124153136,0.2
17,593,10240,5,142.83333333333334,283.05555555555554,56.981891757249834,0.0003,54.496463775634766,0.06420958,0.014107343,0.155810546875,-0.009659272388671526,40,-1.6849631614983083,0.2
19,625,12288,6,137.9,239.44,85.24329711794853,0.0003,29.484996795654297,0.058790743,0.016159311,0.10341796875,-0.010808400445966981,50,-1.6087438981980084,0.2
22,643,14336,7,138.87878787878788,215.3030303030303,71.99198874235154,0.0003,29.17352294921875,0.043594956,0.014235785,0.1427734375,-0.014897061118972488,60,-1.4775926385074853,0.2
24,660,16384,8,135.53932584269663,183.91011235955057,66.6731181204319,0.0003,44.22349548339844,0.016039968,0.014636912,0.123876953125,-0.012968299287604169,70,-1.3149958789348601,0.2
27,676,18432,9,136.61,156.8,57.7609743475914,0.0003,19.748184204101562,0.024116814,0.010324681,0.091015625,-0.010581453642225824,80,-1.1640347220003604,0.2
29,691,20480,10,131.73,103.0,29.162368711829185,0.0003,9.723483085632324,0.009018719,0.012040498,0.157421875,-0.014975589633104391,90,-1.0167136227712035,0.2
31,705,22528,11,134.74,94.18,31.489057695865633,0.0003,7.523643493652344,0.008768916,0.0071685887,0.104345703125,-0.010309615248115734,100,-0.763253802061081,0.2
34,717,24576,12,133.99,84.1,12.10384338721633,0.0003,2.9313807487487793,0.0068606734,0.0062532844,0.105029296875,-0.010204795670870227,110,-0.6858490223065019,0.2
36,727,26624,13,125.26,66.36,10.12195407152176,0.0003,2.952930450439453,0.06152892,0.0050991178,0.07734375,-0.008591123562655411,120,-0.5829633485525847,0.2
39,734,28672,14,126.93,65.57,12.311446641385555,0.0003,4.78572416305542,0.0345487,0.0047510983,0.05234375,-0.004714201256865636,130,-0.4478715118952096,0.2
41,741,30720,15,128.54,65.43,10.296999505907298,0.0003,1.9148123264312744,0.05249077,0.003103217,0.0560546875,-0.005038295676058624,140,-0.3949576986953616,0.2
43,747,32768,16,126.93,62.16,9.147876523435116,0.0003,2.492828845977783,0.13457882,0.002538931,0.046533203125,-0.0040400578523986045,150,-0.33747296025976536,0.2
46,750,34816,17,113.14,45.63,14.138786984980106,0.0003,7.529378414154053,0.13212556,0.0013543961,0.019189453125,-0.001444133422046434,160,-0.2853562762029469,0.2
48,755,36864,18,122.95,55.97,21.886303305625916,0.0003,9.672245979309082,0.017754018,0.0009483306,0.01240234375,-0.0012067714153090492,170,-0.2567312934435904,0.2
51,758,38912,19,124.83,58.06,16.690020918101073,0.0003,9.124570846557617,0.019643188,0.0014862927,0.023046875,-0.0016633351653581486,180,-0.24396232897415757,0.2
53,762,40960,20,134.8,68.71,21.331664606928825,0.0003,9.779836654663086,0.031288326,0.002832204,0.027392578125,-0.0031498171330895273,190,-0.2652183007914573,0.2
56,767,43008,21,145.73,80.45,15.378349594771862,0.0003,6.720682144165039,0.11159712,0.0014876266,0.016796875,-0.0021717479452490807,200,-0.25394333549775183,0.2
58,770,45056,22,150.34,85.14,19.34410476535559,0.0003,4.501660346984863,0.04234636,0.008578272,0.03203125,-0.003840074621257372,210,-0.2750171644613147,0.2
61,768,47104,23,162.05,97.84,12.605978509038687,0.0003,4.119997978210449,0.16953617,0.0010449766,0.029052734375,-0.0020636375367757863,220,-0.3068012008443475,0.2
63,770,49152,24,170.22,106.81,20.12901973426342,0.0003,7.543191909790039,0.187738,0.0016491218,0.035546875,-0.002032935922034085,230,-0.3767963069491088,0.2
66,773,51200,25,187.71,125.54,15.520282784104348,0.0003,5.664077281951904,0.26448244,0.0033787708,0.020751953125,-0.0029929589130915702,240,-0.338117300812155,0.2
